author_id,created_at,public_metrics,text,id
39060041,2021-11-30T19:25:39.000Z,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @CapeTownEtc: South Africans appear to have listened and taken action regarding President Cyril Ramphosa’s call to get vaccinated, as ov…",1465763975543590919
254565033,2021-11-30T19:25:38.000Z,"{'retweet_count': 1590, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @matthewjdowd: If you are a regular consumer of Fox News you are in far graver danger of dying from Covid, you will be encouraged to liv…",1465763975514267653
1274746248977924096,2021-11-30T19:25:38.000Z,"{'retweet_count': 76, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @banthebbc: Jeremy Kyle got his booster last Thursday and today he’s tested positive with covid,1465763975006666752
955915544250613760,2021-11-30T19:25:38.000Z,"{'retweet_count': 346, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @m_ebrard: En la mañanera de hoy informé que hemos recibido 175 millones de dosis de vacunas contra covid-19 y alcanzaremos 200 millones…,1465763974914400264
705316073894244353,2021-11-30T19:25:38.000Z,"{'retweet_count': 1929, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @OccupyDemocrats: BREAKING NEWS: “A judge sentences a Texas man who invented a fake business to steal $1.6 million in COVID relief loans…,1465763974788562955
323494888,2021-11-30T19:25:38.000Z,"{'retweet_count': 314, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @JackPosobiec: TWO-FACED MACE: Nancy Mace BUSTED spreading two different COVID narratives on Fox News and CNN
https://t.co/oXxgNtTPcg",1465763974784462850
2846330456,2021-11-30T19:25:38.000Z,"{'retweet_count': 1014, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @EricMMatheny: Waukesha was a hate crime. Epstein was murdered. Biden didn’t win 81 million votes. And COVID is a Chinese bioweapon. Jus…,1465763974746673158
22226671,2021-11-30T19:25:38.000Z,"{'retweet_count': 5852, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @CBSNews: JUST IN: Omicron COVID variant was in Europe before South African scientists detected and flagged it to the world https://t.co…,1465763974352445445
1276702718464327681,2021-11-30T19:25:38.000Z,"{'retweet_count': 7508, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @RepSwalwell: I’m losing my Covid patience🧵 I’ve tried to reason with the unvaxxed. I’ve directed some to medical pros. I don’t judge bu…,1465763974293696521
2319617520,2021-11-30T19:25:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Why are facts a thing of contention in 2020-2021?  I keep hearing ""More people died under Trump than @joeBiden"" - which is fiction - especially when you consider he didn't have a vaccine - and then there's the fact that more people have died under joe - https://t.co/gNPeTa2G9O",1465763974222393352
380993344,2021-11-30T19:25:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Oxford Sees No Evidence Omicron Defeats Vaccines So Far  https://t.co/Dks4yDLakO,1465763973656158210
101878323,2021-11-30T19:25:38.000Z,"{'retweet_count': 66, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @solano_leiva: Crónicas COVID-19: ante el reciente anuncio de @FranAlabi de @SaludSV de comenzar a vacunar a niños de 5-11 años contra C…,1465763973362376707
3502038675,2021-11-30T19:25:38.000Z,"{'retweet_count': 1366, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @BMeiselas: Today, 2 accounts were suspiciously suspended:

1) @jvipondmd, a dr in Alberta who sounded the alarm about Covid and was a b…",1465763972980908040
761639274747924481,2021-11-30T19:25:38.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @LoTitoles: Avuí ha mort al meu poble una veïna, vaccinada amb las tres dosis...
Puc dir i afirmo que la vaccina del Covid, mata!",1465763972875964421
2422094835,2021-11-30T19:25:38.000Z,"{'retweet_count': 5852, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @CBSNews: JUST IN: Omicron COVID variant was in Europe before South African scientists detected and flagged it to the world https://t.co…,1465763972863479808
634127491,2021-11-30T19:25:38.000Z,"{'retweet_count': 1014, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @EricMMatheny: Waukesha was a hate crime. Epstein was murdered. Biden didn’t win 81 million votes. And COVID is a Chinese bioweapon. Jus…,1465763972288847878
1274999412121645057,2021-11-30T19:25:38.000Z,"{'retweet_count': 33, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @vngalwana: I've come to realise that many vax pushers don't even understand the science they say everyone must follow. You ask them a s…,1465763971902943245
757358036998582276,2021-11-30T19:25:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@1BoysFan @Lucille77316971 @LibbyTard5 @OldNotDead67 @JackBlaine3 @liszewsk @Shakeyacres @GeneRosenkoett1 @LaroccoJoseph @Nerditupnation @ceajs1 @TFDrake @NoobamaC @VickieBrown1958 @ShowersKathy @sydney2m South Africa Covid, Powell &amp; Yellen and more of Joe’s BS. Everyone is running scared. MSFT was taking a beating earlier too. @ATT may as well file bankruptcy.",1465763971559043072
22788514,2021-11-30T19:25:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",New Covid variant leads to new Republican conspiracy theory https://t.co/8tSlKhdX6u,1465763971483402240
1224758690244374530,2021-11-30T19:25:37.000Z,"{'retweet_count': 483, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @chrischirp: Latest hospitalisation data from Gauteng does show quite a large increase in hospital admissions due to Covid (most recent…,1465763971273834505
381123974,2021-11-30T19:25:37.000Z,"{'retweet_count': 468, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @guyverhofstadt: If we want to overcome the COVID crisis we need the same positive attitude as Volvo and agree on a patent waiver ! http…,1465763971227656196
740978373770498048,2021-11-30T19:25:37.000Z,"{'retweet_count': 25, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @EsmeAbenia: Más de 5000 mayores murieron en Madrid en las Residencias por COVID ,sin poder ser atendidos ,mediante una orden el gobiern…",1465763971168972808
2195774339,2021-11-30T19:25:37.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @keylaReyna04: “América Latina ha sido afectada por la pandemia COVID en 8% de muertes y un 20%de  casos @DrLeonelFernandez 
#ForoGlobal…",1465763970128646152
135251333,2021-11-30T19:25:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","FROM THE NEWSROOM: BOSTON (AP) — Gov. Charlie Baker said a COVID-19 vaccination passport program that would allow residents to quickly demonstrate their vaccine status could be coming soon in Massachusetts and other states.
https://t.co/LH54M7x4Ny",1465763969986187276
2166293276,2021-11-30T19:25:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Infectious disease specialist says cases are still on the rise in Kingston https://t.co/uehzUahMUd,1465763969134649344
3057445744,2021-11-30T19:25:37.000Z,"{'retweet_count': 892, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @petrogustavo: El estudio de la Universidad de Cambridge vuelve a vincular el covid con el cambio climático que habría cambiado rutas an…,1465763968459411467
1237840644103475200,2021-11-30T19:25:37.000Z,"{'retweet_count': 1525, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @f_philippot: En Grèce la vaccination covid devient obligatoire pour les plus de 60 ans. Sinon amende de 100 euros par mois, à vie !
Au…",1465763968304168961
18906389,2021-11-30T19:25:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",COVID-19 experts answer questions about Omicron — and where the variant may have come from https://t.co/jyMayMhBWn via @GeekWire A good read.,1465763968291508228
